"Unique Identifier","Agenda Number","Meeting","Meeting Date","Sponsor","Co-Sponsors","Charter Right","Amended","Outcome","Vote","Type of Vote","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Joan Pickett","Yeas","Nays","Present","Absent","Link","Summary"
"POR 2024 #24","5","2024-02-26 Regular","45348","Sumbul Siddiqui","Jivan Sobrinho-Wheeler,Burhan Azeem,Ayesha M. Wilson","","Yes","Adopted","8 to 0","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4469&MediaPosition=&ID=22226&CssClass=","That the City Manager is hereby directed to confer with the City Manager’s Housing Liaison, Community Development Department, and the Cambridge Housing Authority on the feasibility of municipally-funded housing vouchers."
"POR 2024 #25","6","2024-02-26 Regular","45348","Paul F. Toner","Marc C. McGovern,Patricia Nolan","","","Adopted","8 to 0","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4469&MediaPosition=&ID=22228&CssClass=","That the City Manager is requested to report back to the City Council with the data analysis included in the Economic Feasibility Analysis provided to EOHLC as part of Cambridge’s MBTA Communities final compliance submission."
"POR 2024 #26","1","2024-03-04 Regular","45355","Paul F. Toner","","","","Adopted and Referred","8 to 0","Roll Call","yes","yes","yes","yes","yes","absent","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Paul F. Toner","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22284&CssClass=","That the Executive Assistant to the City Council confer with the Dedication Committee to consider a request for a dedication in a suitable location in honor of Paul Ryder."
"POR 2024 #27","2","2024-03-04 Regular","45355","E. Denise Simmons","","","","Adopted","9 to 0","Roll Call","yes","yes","yes","yes","yes","absent","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Paul F. Toner","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22290&CssClass=","That the City Manager is requested to dispatch the appropriate City"
"POR 2024 #28","3","2024-03-04 Regular","45355","E. Denise Simmons","","","","Adopted","9 to 0","Roll Call","yes","yes","yes","yes","yes","absent","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Paul F. Toner","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22294&CssClass=","Cancellation of the City Council meeting of March 11, 2024."
"POR 2024 #29","4","2024-03-04 Regular","45355","Marc C. McGovern","","","","Adopted","9 to 0","Roll Call","yes","yes","yes","yes","yes","absent","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Paul F. Toner","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22298&CssClass=","In appreciation of Social Workers and National Social Worker Month."
"POR 2024 #30","5","2024-03-04 Regular","45355","Sumbul Siddiqui","","","Yes","Adopted","9 to 0","Roll Call","yes","yes","yes","yes","yes","absent","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Paul F. Toner","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22299&CssClass=","Tenant Protection Resources."
"POR 2024 #31","1","2024-03-18 Regular","45369","Marc C. McGovern","","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22309&CssClass=","That the Executive Assistant to the City Council confer with the Dedication Committee to consider a request from Vice Mayor McGovern for a suitable dedication in the vicinity of Copley Street and Walden Street in honor of Luke B. Santos."
"POR 2024 #32","2","2024-03-18 Regular","45369","Jivan Sobrinho-Wheeler","Marc C. McGovern,Joan Pickett,Sumbul Siddiqui","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22310&CssClass=","That the City Manager is requested to work with the relevant departments and the United States Postal Service to examine whether a new street name for 91, 93, and 95 Pearl Street and 4 William Street and accompanying sign can be given to these houses."
"POR 2024 #33","3","2024-03-18 Regular","45369","Marc C. McGovern","Patricia Nolan,Joan Pickett","","Yes","Adopted","7 to 2","Roll Call","yes","yes","yes","yes","yes","no","yes","yes","no","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","Paul F. Toner, Joan Pickett","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22349&CssClass=","That the City Manager is requested to work with the Animal Commission, the Law Department, and any other City departments, to amend Cambridge Code of Ordinances §6.08.010 (“Regulation of vicious dogs”) to bring into compliance with State law and creation of Kennel Licenses."
"POR 2024 #34","4","2024-03-18 Regular","45369","Jivan Sobrinho-Wheeler","Sumbul Siddiqui,Burhan Azeem,Marc C. McGovern","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22357&CssClass=","That the City Manager is requested to work with relevant City departments and meet with the MBTA and City of Boston in advance of the July Red Line shutdown about the implementation of a fare-free 1 bus program."
"POR 2024 #35","5","2024-03-18 Regular","45369","Jivan Sobrinho-Wheeler","Burhan Azeem,Ayesha M. Wilson,Patricia Nolan","Joan Pickett","Yes","Adopted","8 to 1","Roll Call","yes","yes","yes","yes","yes","no","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","Paul F. Toner","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22359&CssClass=","That the City Manager is requested to work with the Law Department and Community Development Department to study whether the City Council could add maximum lot area per dwelling unit, maximum setback requirements, and minimum floor area ratios in some districts or as part of an overlay in the Zoning Ordinance and whether the City Council could require a special permit for a down conversion in developments that would result in a net loss of housing units."
"POR 2024 #36","6","2024-03-18 Regular","45369","E. Denise Simmons","","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22360&CssClass=","That the City Manager is requested to direct the appropriate City staff to investigate and determine what measures, if any, can be taken to mitigate the noise impacts of waste management disposal operations on residents in the North Point District while remaining compliant with existing legal requirements."
"POR 2024 #37","7","2024-03-18 Regular","45369","Burhan Azeem","Marc C. McGovern,Sumbul Siddiqui,Ayesha M. Wilson","Joan Pickett","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22361&CssClass=","That the City Manager is requested to direct the Community Development Department to work with the chairs of the Housing Committee on zoning language that effectively promotes multi-family housing, including inclusionary units, citywide."
"POR 2024 #38","8","2024-03-18 Regular","45369","Ayesha M. Wilson","E. Denise Simmons","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22367&CssClass=","That the Executive Assistant to the City Council confer with the Dedication Committee to consider a request for a dedication in a suitable location to honor Roderick L. “Kito” Jackson."
"POR 2024 #39","9","2024-03-18 Regular","45369","Patricia Nolan","Burhan Azeem","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22370&CssClass=","That the City Manager is requested to work with relevant City departments and report back to the City Council with recommendations for adjusting parking permit fees to better align with associated costs."
"POR 2024 #40","10","2024-03-18 Regular","45369","Patricia Nolan","Jivan Sobrinho-Wheeler,Joan Pickett,Sumbul Siddiqui","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4472&MediaPosition=&ID=22371&CssClass=","That the City Manager is requested to work with relevant City departments to develop ways to fund support of decarbonization and clean energy projects and technical assistance for property owners of all types especially those with limited resources, with an initial focus on work associated with BEUDO emissions reduction requirements."
"POR 2024 #41","11","2024-03-18 Regular","45369","Paul F. Toner","","","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?ID=22376","That City Council Rules 21A, 21B be edited and add 21C Requiring Two City Councilors to Sponsor Policy Orders and Resolutions to be Filed and Placed on Council Agenda"
"POR 2024 #42","1","2024-03-25 Regular","45376","Paul F. Toner","","","Yes","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4473&MediaPosition=&ID=22375&CssClass=","City Council Rule Changes."
"POR 2024 #43","2","2024-03-25 Regular","45376","Sumbul Siddiqui","Burhan Azeem","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4473&MediaPosition=&ID=22396&CssClass=","That the City Council confirm the reappointment of Elaine DeRosa to the Cambridge Housing Authority for a term of five years."
"POR 2024 #44","3","2024-03-25 Regular","45376","Sumbul Siddiqui","Burhan Azeem","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4473&MediaPosition=&ID=22397&CssClass=","That the City Council confirm the reappointment of Victoria Bergland to the Cambridge Housing Authority for a term of five years."
"POR 2024 #45","4","2024-03-25 Regular","45376","Jivan Sobrinho-Wheeler","Sumbul Siddiqui,Marc C. McGovern","","Yes","Adopted","5-3-1","Roll Call","present","yes","yes","yes","yes","no","no","yes","no","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Jivan Sobrinho-Wheeler","Paul F. Toner, Ayesha M. Wilson, Joan Pickett","E. Denise Simmons","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4473&MediaPosition=&ID=22430&CssClass=","That the City Manager is requested to work with the Law Department, the Community Development Department, and the Traffic, Parking and Transportation Department to determine whether the City could provide incentives for residents who do not have cars."
"POR 2024 #46","5","2024-03-25 Regular","45376","Patricia Nolan","Jivan Sobrinho-Wheeler","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4473&MediaPosition=&ID=22438&CssClass=","Support of the Regional Heat Pump Accelerator Program."
